identify,～を特定する,201
represent,～を表す,202
indicate,～を指し示す,203
manage,～を何とか成し遂げる,204
attend,～に出席する,205
maintain,～を維持する,206
surver,～を調査する,207
replace,～にとって代わる,208
sort,～を（～に）分類する,209
conduct,～を実施する,210
associate,～を結び付けて考える,211
attempt,～を試みる、企てる,212
promote,～を推進する,213
earn,～を稼ぐ,214
unite,～を団結させる,215
feed,～に食べ物（乳）を与える,216
seek,～追い求める,217
observe,～に気づく,218
reveal,～を明らかにする,219
estimate,～と推定する,220
reflect,～を反映する,221
attract,～を引き付ける,222
decrease,減少する,223
ignore,～を無視する,224
match,（～と）合う,225
define,～を定義する,226
adapt,適応する,227
contribute,貢献する、一因となる,228
exchange,（～を）交換する,229
display,～を示す,230
respond,反応する,231
hide,隠す,232
doubt,～ではないと思う,233
remove,～を取り除く,234
wind,(ネジなど)を巻く,235
assume,～を当然の事と思う、～と仮定する,236
relax,くつろぐ,237
satisfy,～を満足させる,238
desire,～を満足させる,239
succeed,（～に）成功する,240
concept,概念,241
fashion,流行,242
device,装置、機器,243
charge,料金,244
contrast,（～との）対照,245
colleague,（職場の）同僚,246
pain,苦痛、痛み,247
bill,請求書,248
content,内容、中身,249
section,部門,250
audience,聴衆、観客,251
surface,表面,252
corp,作物,253
topic,話題,254
technique,技術,255
status,地位,256
option,選択（の自由）,257
reward,報酬,258
race,人種,259
crime,罪、犯罪,260
conflict,争い,261
struggle,闘い,262
context,状況、背景,263
debate,討論、論争,264
fuel,燃料,265
pollution,汚染、公害,266
trend,（～への）傾向,267
balance,均衡,268
traffic,交通,269
strategy,戦略,270
basis,基礎,271
consequence,結果,272
aim,目的、目標,273
ancestor,祖先,274
gene,遺伝子,275
track,跡,276
revolution,革命,277
progress,進捗,278
cognitive,認知の,279
ideal,理想的な,280
efficient,効率的な,281
universal,普遍的な,282
vast,莫大な,283
extra,追加の、余分の,284
entire,全体の、全部の,285
familiar,精通している,
obvious,明らかな,287
moral,道徳（上）の、倫理的な,288
ordinary,一般の、普通の,289
equal,（～に）等しい,290
previous,以前の、前の,291
false,間違った,292
rare,まれな、珍しい,293
legal,法律の,294
independent,（～から）独立した,295
extreme,極端な,296
actual,実際の、現実の,297
willing,いとわない、かまわないと思う,298
urban,都市の,299
wheras,～するのに（対し）、～する一方,300